ts,pa
2020-09-08 00:00:22,100664
2020-09-08 00:01:22,100661
2020-09-08 00:02:22,100667
2020-09-08 00:03:22,100668
2020-09-08 00:04:22,100667
2020-09-08 00:05:22,100668
2020-09-08 00:06:22,100670
2020-09-08 00:07:22,100668
2020-09-08 00:08:22,100667
2020-09-08 00:09:23,100667
2020-09-08 00:10:23,100665
2020-09-08 00:11:23,100662
2020-09-08 00:12:23,100662
2020-09-08 00:13:23,100662
2020-09-08 00:14:23,100665
2020-09-08 00:15:23,100665
2020-09-08 00:16:23,100667
2020-09-08 00:17:23,100669
2020-09-08 00:18:23,100671
2020-09-08 00:19:23,100669
2020-09-08 00:20:23,100671
2020-09-08 00:21:23,100670
2020-09-08 00:22:23,100669
2020-09-08 00:23:23,100670
2020-09-08 00:24:23,100667
2020-09-08 00:25:23,100673
2020-09-08 00:26:23,100670
2020-09-08 00:27:23,100671
2020-09-08 00:28:23,100673
2020-09-08 00:29:23,100676
2020-09-08 00:30:23,100677
2020-09-08 00:31:23,100676
2020-09-08 00:32:23,100676
2020-09-08 00:33:23,100679
2020-09-08 00:34:23,100680
2020-09-08 00:35:23,100681
2020-09-08 00:36:23,100685
2020-09-08 00:37:23,100686
2020-09-08 00:38:23,100683
2020-09-08 00:39:23,100688
2020-09-08 00:40:23,100693
2020-09-08 00:41:23,100693
2020-09-08 00:42:23,100695
2020-09-08 00:43:23,100697
2020-09-08 00:44:23,100696
2020-09-08 00:45:23,100696
2020-09-08 00:46:23,100696
2020-09-08 00:47:23,100695
2020-09-08 00:48:23,100698
2020-09-08 00:49:23,100701
2020-09-08 00:50:23,100701
2020-09-08 00:51:23,100698
2020-09-08 00:52:23,100700
2020-09-08 00:53:23,100700
2020-09-08 00:54:23,100700
2020-09-08 00:55:23,100697
2020-09-08 00:56:23,100693
2020-09-08 00:57:23,100698
2020-09-08 00:58:23,100693
2020-09-08 00:59:23,100695
2020-09-08 01:00:23,100699
2020-09-08 01:01:23,100695
2020-09-08 01:02:24,100695
2020-09-08 01:03:24,100694
2020-09-08 01:04:24,100693
2020-09-08 01:05:24,100693
2020-09-08 01:06:24,100695
2020-09-08 01:07:24,100696
2020-09-08 01:08:24,100695
2020-09-08 01:09:24,100701
2020-09-08 01:10:24,100701
2020-09-08 01:11:24,100701
2020-09-08 01:12:24,100705
2020-09-08 01:13:24,100702
2020-09-08 01:14:24,100705
2020-09-08 01:15:24,100705
2020-09-08 01:16:24,100707
2020-09-08 01:17:24,100709
2020-09-08 01:18:24,100711
2020-09-08 01:19:24,100712
2020-09-08 01:20:24,100715
2020-09-08 01:21:24,100716
2020-09-08 01:22:24,100715
2020-09-08 01:23:24,100714
2020-09-08 01:24:24,100721
2020-09-08 01:25:24,100723
2020-09-08 01:26:24,100722
2020-09-08 01:27:24,100725
2020-09-08 01:28:24,100721
2020-09-08 01:29:24,100719
2020-09-08 01:30:24,100721
2020-09-08 01:31:24,100717
